Indicator,Time Period,Parent Code,Parent Name,Area Code,Area Name,Value,Lower CI,Upper CI,Count,Denominator,Sex,Age,Note
Children in poverty (under 16s),2009,,,E12000002,North West region,23.66,23.59,23.73,310680.00,1313070.00,Persons,<16 yrs,
Children in poverty (under 16s),2009,,,E12000003,Yorkshire and the Humber region,22.51,22.43,22.59,220000.00,977265.00,Persons,<16 yrs,
Children in poverty (under 16s),2009,,,E12000004,East Midlands region,19.83,19.75,19.92,163275.00,823275.00,Persons,<16 yrs,
Children in poverty (under 16s),2009,,,E12000005,West Midlands region,24.62,24.53,24.70,262545.00,1066590.00,Persons,<16 yrs,
Children in poverty (under 16s),2009,,,E12000006,East of England region,17.56,17.48,17.63,188785.00,1075300.00,Persons,<16 yrs,
Children in poverty (under 16s),2009,,,E12000007,London region,29.72,29.65,29.79,462990.00,1557795.00,Persons,<16 yrs,
Children in poverty (under 16s),2009,,,E12000008,South East region,15.99,15.93,16.05,249690.00,1561515.00,Persons,<16 yrs,
Children in poverty (under 16s),2009,,,E12000009,South West region,17.17,17.10,17.25,156385.00,910545.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000001,North East region,24.79,24.67,24.92,113975.00,459690.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000002,North West region,22.90,22.83,22.97,300595.00,1312810.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000003,Yorkshire and the Humber region,22.00,21.92,22.08,215245.00,978340.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000004,East Midlands region,19.29,19.20,19.37,159005.00,824470.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000005,West Midlands region,23.83,23.75,23.91,254720.00,1069090.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000006,East of England region,17.11,17.03,17.18,184860.00,1080730.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000007,London region,27.81,27.74,27.88,442375.00,1590790.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000008,South East region,15.53,15.48,15.59,243950.00,1570515.00,Persons,<16 yrs,
Children in poverty (under 16s),2010,,,E12000009,South West region,16.62,16.54,16.70,151590.00,912170.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000001,North East region,24.50,24.37,24.62,112490.00,459200.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000002,North West region,22.51,22.44,22.58,296090.00,1315225.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000003,Yorkshire and the Humber region,21.69,21.60,21.77,212700.00,980810.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000004,East Midlands region,19.09,19.01,19.18,158080.00,827905.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000005,West Midlands region,23.23,23.15,23.31,249500.00,1074145.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000006,East of England region,16.75,16.68,16.82,182205.00,1087940.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000007,London region,26.53,26.46,26.60,427570.00,1611800.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000008,South East region,15.15,15.09,15.20,239725.00,1582540.00,Persons,<16 yrs,
Children in poverty (under 16s),2011,,,E12000009,South West region,16.16,16.09,16.24,148105.00,916265.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000001,North East region,23.62,23.49,23.74,108490.00,459370.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000002,North West region,21.41,21.34,21.48,282870.00,1321070.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000003,Yorkshire and the Humber region,20.78,20.70,20.86,205250.00,987685.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000004,East Midlands region,18.15,18.07,18.24,151375.00,833920.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000005,West Midlands region,21.90,21.82,21.98,236840.00,1081550.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000006,East of England region,15.85,15.78,15.92,174115.00,1098480.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000007,London region,23.67,23.61,23.74,387290.00,1636025.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000008,South East region,14.19,14.14,14.25,226550.00,1596340.00,Persons,<16 yrs,
Children in poverty (under 16s),2012,,,E12000009,South West region,15.13,15.06,15.21,139525.00,922000.00,Persons,<16 yrs,
Statutory homelessness,2010/11,,,E12000001,North East region,1.67,1.60,1.75,1860.00,1112000.00,Not applicable,Not applicable,
Statutory homelessness,2010/11,,,E12000002,North West region,1.32,1.28,1.36,3880.00,2935000.00,Not applicable,Not applicable,
Statutory homelessness,2010/11,,,E12000003,Yorkshire and the Humber region,2.01,1.95,2.07,4420.00,2203000.00,Not applicable,Not applicable,
Statutory homelessness,2010/11,,,E12000004,East Midlands region,1.81,1.75,1.87,3380.00,1868000.00,Not applicable,Not applicable,
Statutory homelessness,2010/11,,,E12000005,West Midlands region,3.76,3.68,3.85,8440.00,2242000.00,Not applicable,Not applicable,
Statutory homelessness,2010/11,,,E12000006,East of England region,1.75,1.70,1.81,4220.00,2406000.00,Not applicable,Not applicable,
Statutory homelessness,2010/11,,,E12000007,London region,3.14,3.08,3.20,10180.00,3244000.00,Not applicable,Not applicable,
Statutory homelessness,2010/11,,,E12000008,South East region,1.30,1.26,1.34,4520.00,3480000.00,Not applicable,Not applicable,
Statutory homelessness,2010/11,,,E12000009,South West region,1.46,1.41,1.51,3270.00,2241000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000001,North East region,1.62,1.54,1.70,1800.00,1112000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000002,North West region,1.43,1.38,1.47,4190.00,2935000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000003,Yorkshire and the Humber region,2.22,2.16,2.29,4900.00,2203000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000004,East Midlands region,2.03,1.96,2.09,3790.00,1868000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000005,West Midlands region,3.82,3.74,3.90,8560.00,2242000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000006,East of England region,2.19,2.13,2.25,5270.00,2406000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000007,London region,3.92,3.85,3.99,12720.00,3244000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000008,South East region,1.53,1.49,1.57,5320.00,3480000.00,Not applicable,Not applicable,
Statutory homelessness,2011/12,,,E12000009,South West region,1.67,1.62,1.73,3750.00,2241000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000001,North East region,1.52,1.59,1.59,1740.00,1146000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000002,North West region,1.32,1.37,1.37,4000.00,3021000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000003,Yorkshire and the Humber region,2.13,2.19,2.19,4920.00,2310000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000004,East Midlands region,1.84,1.90,1.90,3590.00,1955000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000005,West Midlands region,3.77,3.85,3.85,8720.00,2310000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000006,East of England region,2.23,2.29,2.34,5640.00,2531000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000007,London region,4.57,4.65,4.65,15450.00,3379000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000008,South East region,1.63,1.68,1.69,5930.00,3628000.00,Not applicable,Not applicable,
Statutory homelessness,2012/13,,,E12000009,South West region,1.52,1.57,1.49,3560.00,2346000.00,Not applicable,Not applicable,
Statutory homelessness,2013/14,,,E12000001,North East region,1.33,1.26,1.40,1520.00,1145.47,Not applicable,Not applicable,
Statutory homelessness,2013/14,,,E12000002,North West region,1.17,1.13,1.21,3560.00,3046.75,Not applicable,Not applicable,Value estimated
Statutory homelessness,2013/14,,,E12000003,Yorkshire and the Humber region,1.54,1.49,1.59,3480.00,2262.42,Not applicable,Not applicable,
Statutory homelessness,2013/14,,,E12000004,East Midlands region,1.86,1.80,1.92,3600.00,1935.71,Not applicable,Not applicable,
Statutory homelessness,2013/14,,,E12000005,West Midlands region,3.44,3.36,3.51,8020.00,2332.80,Not applicable,Not applicable,
Statutory homelessness,2013/14,,,E12000006,East of England region,2.31,2.25,2.37,5740.00,2483.90,Not applicable,Not applicable,
Statutory homelessness,2013/14,,,E12000007,London region,5.03,4.96,5.11,17030.00,3383.92,Not applicable,Not applicable,
Statutory homelessness,2013/14,,,E12000008,South East region,1.67,1.62,1.71,5960.00,3578.55,Not applicable,Not applicable,Value estimated
Statutory homelessness,2013/14,,,E12000009,South West region,1.42,1.37,1.47,3290.00,2312.68,Not applicable,Not applicable,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000001,North East region,54.61,54.02,55.19,15106.00,27664.00,Persons,15-16 yrs,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000002,North West region,55.82,55.47,56.17,42977.00,76992.00,Persons,15-16 yrs,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000003,Yorkshire and the Humber region,53.86,53.45,54.27,30761.00,57112.00,Persons,15-16 yrs,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000004,East Midlands region,53.97,53.53,54.41,26608.00,49300.00,Persons,15-16 yrs,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000005,West Midlands region,54.95,54.56,55.34,34246.00,62323.00,Persons,15-16 yrs,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000006,East of England region,57.19,56.81,57.58,36432.00,63701.00,Persons,15-16 yrs,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000007,London region,61.39,61.04,61.74,46280.00,75386.00,Persons,15-16 yrs,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000008,South East region,59.03,58.71,59.35,52374.00,88723.00,Persons,15-16 yrs,
GCSE achieved (5A*-C inc. Eng & Maths),2013/14,,,E12000009,South West region,56.73,56.32,57.15,31089.00,54801.00,Persons,15-16 yrs,
Violent crime (violence offences),2010/11,,,E12000001,North East region,9.56,9.44,9.68,24621.00,2575400.00,Persons,All ages,
Violent crime (violence offences),2010/11,,,E12000002,North West region,11.01,10.93,11.09,76906.00,6986200.00,Persons,All ages,
Violent crime (violence offences),2010/11,,,E12000003,Yorkshire and the Humber region,10.83,10.74,10.92,56552.00,5223300.00,Persons,All ages,
Violent crime (violence offences),2010/11,,,E12000004,East Midlands region,11.93,11.83,12.03,53348.00,4471700.00,Persons,All ages,
Violent crime (violence offences),2010/11,,,E12000005,West Midlands region,12.37,12.27,12.46,68356.00,5528000.00,Persons,All ages,
Violent crime (violence offences),2010/11,,,E12000006,East of England region,9.98,9.90,10.07,57423.00,5751400.00,Persons,All ages,
Violent crime (violence offences),2010/11,,,E12000007,London region,17.10,17.01,17.19,135839.00,7942600.00,Persons,All ages,
Violent crime (violence offences),2010/11,,,E12000008,South East region,11.64,11.57,11.71,98834.00,8490900.00,Persons,All ages,
Violent crime (violence offences),2010/11,,,E12000009,South West region,10.51,10.42,10.60,54928.00,5226800.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000001,North East region,8.46,8.35,8.57,21888.00,2586900.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000002,North West region,10.86,10.79,10.94,76257.00,7019900.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000003,Yorkshire and the Humber region,9.78,9.70,9.87,51416.00,5254800.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000004,East Midlands region,11.35,11.25,11.45,51146.00,4507100.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000005,West Midlands region,10.77,10.68,10.86,59946.00,5565900.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000006,East of England region,9.93,9.85,10.02,57694.00,5807400.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000007,London region,15.78,15.69,15.86,127194.00,8061500.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000008,South East region,10.42,10.35,10.49,89379.00,8577800.00,Persons,All ages,
Violent crime (violence offences),2011/12,,,E12000009,South West region,10.48,10.39,10.57,55139.00,5261300.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000001,North East region,7.67,7.56,7.77,19905.00,2596400.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000002,North West region,10.47,10.39,10.54,73867.00,7056000.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000003,Yorkshire and the Humber region,9.20,9.12,9.28,48645.00,5288200.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000004,East Midlands region,10.36,10.27,10.46,47027.00,4537400.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000005,West Midlands region,10.37,10.29,10.45,58163.00,5608700.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000006,East of England region,9.16,9.08,9.24,53706.00,5862400.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000007,London region,15.32,15.23,15.40,125662.00,8204400.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000008,South East region,9.74,9.67,9.80,84258.00,8652800.00,Persons,All ages,
Violent crime (violence offences),2012/13,,,E12000009,South West region,9.90,9.81,9.98,52471.00,5300800.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000001,North East region,8.30,8.19,8.41,21605.00,2602300.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000002,North West region,11.02,10.94,11.10,78064.00,7084300.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000003,Yorkshire and the Humber region,9.98,9.89,10.06,53039.00,5316700.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000004,East Midlands region,10.18,10.09,10.28,46511.00,4567700.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000005,West Midlands region,11.20,11.11,11.28,63171.00,5642600.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000006,East of England region,9.63,9.55,9.71,56893.00,5907300.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000007,London region,15.53,15.44,15.61,129011.00,8308400.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000008,South East region,10.40,10.34,10.47,90771.00,8724700.00,Persons,All ages,
Violent crime (violence offences),2013/14,,,E12000009,South West region,10.26,10.18,10.35,54804.00,5339600.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000001,North East region,10.60,10.47,10.72,27661.00,2610500.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000002,North West region,13.95,13.86,14.03,99073.00,7103300.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000003,Yorkshire and the Humber region,12.14,12.05,12.24,64826.00,5337700.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000004,East Midlands region,11.88,11.78,11.98,54644.00,4598700.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000005,West Midlands region,12.83,12.74,12.92,72802.00,5674700.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000006,East of England region,12.25,12.16,12.34,72924.00,5954200.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000007,London region,19.35,19.26,19.44,162865.00,8416500.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000008,South East region,12.72,12.65,12.80,111861.00,8792600.00,Persons,All ages,
Violent crime (violence offences),2014/15,,,E12000009,South West region,11.64,11.55,11.73,62609.00,5377600.00,Persons,All ages,
Long term unemployment,2012,,,E12000001,North East region,15.17,14.99,15.36,25356.67,1670967.00,Persons,16-64 yrs,
Long term unemployment,2012,,,E12000002,North West region,10.64,10.54,10.73,48214.58,4531762.00,Persons,16-64 yrs,
Long term unemployment,2012,,,E12000003,Yorkshire and the Humber region,12.63,12.51,12.75,42962.08,3401113.00,Persons,16-64 yrs,
Long term unemployment,2012,,,E12000004,East Midlands region,8.79,8.69,8.90,25605.83,2912231.00,Persons,16-64 yrs,
Long term unemployment,2012,,,E12000005,West Midlands region,12.89,12.77,13.01,45857.08,3557498.00,Persons,16-64 yrs,
Long term unemployment,2012,,,E12000006,East of England region,7.41,7.33,7.50,27494.17,3708367.00,Persons,16-64 yrs,
Long term unemployment,2012,,,E12000007,London region,10.90,10.82,10.99,62199.17,5703747.00,Persons,16-64 yrs,
Long term unemployment,2012,,,E12000008,South East region,5.47,5.41,5.53,30117.50,5504596.00,Persons,16-64 yrs,
Long term unemployment,2012,,,E12000009,South West region,5.41,5.33,5.49,17930.42,3316714.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000001,North East region,17.37,17.17,17.57,29021.25,1670967.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000002,North West region,11.18,11.08,11.28,50671.67,4531762.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000003,Yorkshire and the Humber region,14.04,13.92,14.17,47763.33,3401113.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000004,East Midlands region,9.45,9.34,9.56,27522.50,2912231.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000005,West Midlands region,13.22,13.10,13.34,47030.83,3557498.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000006,East of England region,7.39,7.30,7.48,27399.58,3708367.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000007,London region,10.64,10.56,10.73,60700.42,5703747.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000008,South East region,5.46,5.39,5.52,30033.33,5504596.00,Persons,16-64 yrs,
Long term unemployment,2013,,,E12000009,South West region,5.54,5.46,5.62,18382.92,3316714.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000001,North East region,12.53,12.36,12.70,20892.08,1667446.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000002,North West region,7.92,7.83,8.00,35751.67,4516101.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000003,Yorkshire and the Humber region,10.76,10.65,10.87,36512.08,3394713.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000004,East Midlands region,6.86,6.77,6.96,19992.50,2913264.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000005,West Midlands region,10.36,10.25,10.47,36887.08,3560634.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000006,East of England region,4.96,4.88,5.03,18399.58,3712467.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000007,London region,7.77,7.69,7.84,44703.75,5756197.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000008,South East region,3.62,3.57,3.67,19941.67,5511357.00,Persons,16-64 yrs,
Long term unemployment,2014,,,E12000009,South West region,3.69,3.62,3.76,12245.42,3319221.00,Persons,16-64 yrs,
Smoking status at time of delivery,2010/11,,,E12000001,North East region,21.06,20.60,21.52,6346.00,30133.00,Female,All ages,
Smoking status at time of delivery,2010/11,,,E12000002,North West region,17.70,17.44,17.95,15231.00,86074.00,Female,All ages,
Smoking status at time of delivery,2010/11,,,E12000003,Yorkshire and the Humber region,16.95,16.66,17.24,11054.00,65221.00,Female,All ages,
Smoking status at time of delivery,2010/11,,,E12000004,East Midlands region,15.56,15.25,15.86,8339.00,53608.00,Female,All ages,
Smoking status at time of delivery,2010/11,,,E12000005,West Midlands region,15.86,15.59,16.13,11025.00,69515.00,Female,All ages,
Smoking status at time of delivery,2010/11,,,E12000006,East of England region,13.33,13.08,13.58,9351.00,70169.00,Female,All ages,
Smoking status at time of delivery,2010/11,,,E12000007,London region,6.32,6.18,6.45,7802.00,123497.00,Female,All ages,
Smoking status at time of delivery,2010/11,,,E12000008,South East region,11.83,11.64,12.03,12206.00,103164.00,Female,All ages,
Smoking status at time of delivery,2010/11,,,E12000009,South West region,13.51,13.23,13.79,7857.00,58162.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000001,North East region,20.66,20.21,21.12,6173.00,29876.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000002,North West region,17.08,16.83,17.33,14798.00,86650.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000003,Yorkshire and the Humber region,16.45,16.16,16.73,10841.00,65919.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000004,East Midlands region,15.70,15.40,16.01,8468.00,53927.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000005,West Midlands region,15.40,15.14,15.67,10892.00,70721.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000006,East of England region,13.18,12.93,13.43,9357.00,70990.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000007,London region,6.01,5.88,6.15,7391.00,122930.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000008,South East region,11.43,11.24,11.63,11925.00,104298.00,Female,All ages,
Smoking status at time of delivery,2011/12,,,E12000009,South West region,13.13,12.86,13.40,7795.00,59380.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000001,North East region,19.67,19.22,20.13,5689.00,28922.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000002,North West region,16.44,16.20,16.69,14152.00,86063.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000003,Yorkshire and the Humber region,16.48,16.19,16.77,10653.00,64653.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000004,East Midlands region,15.12,14.81,15.43,7936.00,52500.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000005,West Midlands region,14.20,13.95,14.46,9995.00,70366.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000006,East of England region,12.35,12.11,12.60,8851.00,71647.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000007,London region,5.72,5.59,5.85,6996.00,122324.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000008,South East region,11.08,10.89,11.28,11421.00,103052.00,Female,All ages,
Smoking status at time of delivery,2012/13,,,E12000009,South West region,13.30,13.03,13.58,7794.00,58585.00,Female,All ages,
Smoking status at time of delivery,2013/14,,,E12000001,North East region,18.84,18.39,19.30,5344.00,28363.00,Female,All ages,
